,movie,year,imdb,metascore,votes,n_imdb
2903,Hostiles,2017,7.2,65,33904,72.0
2904,Pitch Perfect 3,2017,5.9,40,33615,59.0
2905,Before I Fall,2017,6.4,58,33433,64.0
2906,47 Meters Down,2017,5.6,52,33205,56.0
2907,Paddington 2,2017,7.9,88,32846,79.0
2908,Only the Brave,2017,7.7,72,32565,77.0
2909,CHIPS,2017,6.0,28,31886,60.0
2910,I Don't Feel at Home in This World Anymore.,2017,7.0,75,31261,70.0
2911,Fist Fight,2017,5.6,37,30825,56.0
2912,Rings,2017,4.5,25,30777,45.0
2913,War Machine,2017,6.0,56,30541,60.0
2914,Loving Vincent,2017,7.9,62,30429,79.0
2915,Ferdinand,2017,6.7,58,30379,67.0
2916,Jungle,2017,6.7,48,29595,67.0
2917,Flatliners,2017,5.2,27,27855,52.0
2918,Mudbound,2017,7.4,85,27759,74.0
2919,To the Bone,2017,6.9,64,27470,69.0
2920,1922,2017,6.3,70,27336,63.0
2921,The House,2017,5.6,30,27329,56.0
2922,Snatched,2017,4.4,45,27078,44.0
2923,The Zookeeper's Wife,2017,7.0,57,26984,70.0
2924,Stronger,2017,7.0,76,25851,70.0
2925,Kidnap,2017,5.9,44,25344,59.0
2926,Girls Trip,2017,6.2,71,25112,62.0
2927,The Meyerowitz Stories (New and Selected),2017,7.0,79,25016,70.0
2928,A Bad Moms Christmas,2017,5.5,42,24775,55.0
2929,Suburbicon,2017,5.6,42,24268,56.0
2930,Icarus,2017,8.0,68,22796,80.0
2931,The Shack,2017,6.3,32,22769,63.0
2932,Sleepless,2017,5.6,34,22673,56.0
2933,Ingrid Goes West,2017,6.7,71,22290,67.0
2934,The Discovery,2017,6.3,54,21565,63.0
2935,"Everything, Everything",2017,6.4,52,21525,64.0
2936,The Ottoman Lieutenant,2017,6.8,26,21205,68.0
2937,Victoria & Abdul,2017,6.8,58,20379,68.0
2938,Table 19,2017,5.8,40,19619,58.0
2939,Captain Underpants: The First Epic Movie,2017,6.2,69,19494,62.0
2940,Unlocked,2017,6.2,46,19388,62.0
2941,Nelyubov,2017,7.7,86,18761,77.0
2942,Cargo,2017,6.3,65,17895,63.0
2943,The Wall,2017,6.2,57,17758,62.0
2944,Home Again,2017,5.7,41,17494,57.0
2945,"Roman J. Israel, Esq.",2017,6.4,58,17455,64.0
2946,The Glass Castle,2017,7.2,56,17374,72.0
2947,All Eyez on Me,2017,5.8,38,16424,58.0
