val_loss,val_acc,loss,acc
1.4549529329299926,0.4864,1.8065488318634033,0.35230000000953676
1.2834281326293946,0.5381,1.4304819035339356,0.48738
1.2171284194946288,0.5734,1.306109173965454,0.5342999999809265
1.151274089050293,0.5929,1.2245266983413696,0.564679999961853
1.1102266744613647,0.6136,1.1654181342315675,0.5854999999809265
1.0855067420959472,0.6205,1.114488797569275,0.6035599999904633
1.0610422603607177,0.6301,1.069432537765503,0.619799999961853
1.022415728855133,0.641,1.0285354301643372,0.636920000038147
1.0258396583557128,0.6405,0.9951834170532227,0.64808
0.9839402743339538,0.6613,0.9637995259857177,0.66366
0.9668140935897828,0.6643,0.9279479564666748,0.6732400000190735
0.9603180494308472,0.6661,0.908056489944458,0.683340000038147
0.9385801858901978,0.675,0.8800331838607788,0.6903
0.932268604850769,0.6752,0.8538552336120605,0.700539999961853
0.9239340168952942,0.6796,0.8280541769790649,0.709299999961853
0.9117155602455139,0.6845,0.8086732514190674,0.7168999999809265
0.9117516172409058,0.6803,0.7927855572509765,0.7205799999809265
0.9068421657562256,0.6856,0.7709195495223999,0.7299799999809266
0.8930474300384521,0.693,0.7526533731460572,0.7360399999809265
0.8860949258804321,0.6933,0.7373938987731934,0.7427599999809266
0.8841229189872741,0.696,0.7169824157714844,0.749200000038147
0.8745767366409302,0.7,0.7034318122291565,0.755059999961853
0.8719008136749268,0.6996,0.6897045724105835,0.759579999961853
0.8632471237182617,0.7037,0.6760307137680054,0.76384
0.8660745182991028,0.7026,0.6619457767677307,0.7697400000190735
0.8589762493133545,0.7041,0.6483620089530945,0.7737200000190735
0.8639526277542114,0.7022,0.6398672745323181,0.7766999999809265
0.8590165499687195,0.7057,0.627472529335022,0.781800000038147
0.8574732640266418,0.7066,0.6166234589195252,0.7841
0.8685247140884399,0.7035,0.6061460972595215,0.788240000038147
0.8575438996315002,0.7028,0.5960645540618896,0.793939999961853
0.8533810761451721,0.7105,0.5867383659362793,0.7943
